lemma,traduzione,parte del discorso,gruppo,posizione,
impetus -ūs m.,"attacco, assalto",Nome: IV Declinazione,Violenza,421,
ūsus -ūs m.,"usanza, esperienza",Nome: IV Declinazione,Educazione/Conoscenza,446,
sinus -ūs m.,"piega di un indumento; baia, golfo",Nome: IV Declinazione,Terra e Acqua,478,
currus -ūs m.,carro,Nome: IV Declinazione,Atletica,491,
fluctus -ūs m,"flusso, onda",Nome: IV Declinazione,Terra e Acqua,498,
rēs reī f.,"cosa (rēs pūblica, repubblica; rēs",Nome: V Declinazione,Vita ed Esistenza,38,
,"familiāris, patrimonio di famiglia,",,,,
,"possedimento; rēs mīlitāris, arte della",,,,
,"guerra; rēs novae, rivoluzione)",,,,
diēs diēī m./f.,giorno,Nome: V Declinazione,Estensione di Tempo,54,
fidēs -eī f.,"fiducia, fede",Nome: V Declinazione,Tratti della,184,
,,,Personalità/Caratteristiche,,
spēs speī f.,speranza,Nome: V Declinazione,Emozioni,232,
aciēs -ēī f.,"schiera, linea di battaglia",Nome: V Declinazione,Guerra e Pace,439,
faciēs -ēī f.,"forma, apparenza",Nome: V Declinazione,Vista,479,
in,"in, su (+ abl.); in, verso (+ acc)",Preposizione,Luogo,5,
cum,"con (prep. + abl.); quando, dal momento",Preposizione,Congiunzioni/Avverbi,10,
,"che, sebbene (congiunzione +",,,,
,congiuntivo),,,,
ad,"a, fino a, verso (+acc.)",Preposizione,Luogo,14,
ā ab abs,da (+abl.),Preposizione,Luogo,21,
"ex, ē","da, fuori da (+ abl.)",Preposizione,Luogo,26,
per,attraverso (+acc.),Preposizione,Luogo,30,
dē,"da, circa, a proposito (+ abl.)",Preposizione,Luogo,46,
inter,"tra, in mezzo a; durante (+ acc.)",Preposizione,Luogo,64,
sine,senza (+ abl.),Preposizione,Preposizioni non Direzionali,104,
ante,"prima di, davanti a (avv. e prep. + acc.)",Preposizione,Tempo,112,
sub,"sotto, vicino a (+acc. o +abl.)",Preposizione,Luogo,118,
prō,"per, a favore di, in proporzione a (+abl.)",Preposizione,Preposizioni non Direzionali,128,
post,dopo (avv. e prep. +acc.),Preposizione,Tempo,164,
prope,"vicino, prossimo; (comp.) propior,",Preposizione,Luogo,189,
,"(superl.) proximus; (avv.) prope, quasi",,,,
apud,"vicino, in presenza di, presso (+acc.)",Preposizione,Luogo,205,
contrā,"contro, in opposizione a (avv. e prep.",Preposizione,Luogo,271,
,+acc.),,,,
ob,"contro, per causa di (+acc)",Preposizione,Luogo,449,
quī quae quod,"chi, il quale",Pronome,Pronomi/Interrogativi,3,
hic haec hoc,"questo, questi",Pronome,Pronomi/Interrogativi,7,
ille illa illud,quello,Pronome,Pronomi/Interrogativi,8,
tū tuī tibi tē,tu,Pronome,Pronomi/Interrogativi,9,
ego meī mihi mē,"io, me",Pronome,Pronomi/Interrogativi,11,
quisquam quicquam/quidquam,"ogni (singola) persona, ognuno",Pronome,Pronomi/Interrogativi,12,
is ea id,"egli, ella, esso",Pronome,Pronomi/Interrogativi,13,
sui sibi sē/sēsē,"sé, se stesso, essi stessi",Pronome,Pronomi/Interrogativi,17,
ipse ipsa ipsum,egli stesso,Pronome,Pronomi/Interrogativi,22,
meus -a -um,mio,Pronome,Pronomi/Interrogativi,41,
nōs nostrum/nostrī nōbīs nōs,noi,Pronome,Pronomi/Interrogativi,51,
noster nostra nostrum,nostro,Pronome,Pronomi/Interrogativi,52,
īdem eadem idem,"stesso, medesimo",Pronome,Pronomi/Interrogativi,59,
aliquis -quae -quod,"qualcuno, ogni; si quis, si quid: ognuno",Pronome,Pronomi/Interrogativi,77,
,"che, ogni cosa che",,,,
iste ista istud,"codesto, quello (dei tuoi); avv. istīc or",Pronome,Pronomi/Interrogativi,81,
,istūc: laggiù; istinc: da laggiù,,,,
quīdam quaedam quoddam,"qualcuno, un certo",Pronome,Pronomi/Interrogativi,126,
quisquis quidquid,"chiunque, qualunque cosa",Pronome,Pronomi/Interrogativi,129,
nēmō,"nessuno (gen. nūllīus, dat. nūllī, abl. nūllō",Pronome,Pronomi/Interrogativi,179,
,or nūllā → nūllus -a -um),,,,
quisque quaeque quidque,"qualcuno, qualche cosa",Pronome,Pronomi/Interrogativi,197,
quis quid,chi? che cosa?,Pronome,Pronomi/Interrogativi,212,
quālis -e,di che tipo? cosa?,Pronome,Pronomi/Interrogativi,263,
quīcumque quaecumque quodcumque,"chiunque, qualunque cosa",Pronome,Pronomi/Interrogativi,284,
quantus -a -um,(interr.) quanto grande? (rel.) di che,Pronome,Pronomi/Interrogativi,311,
,"dimensioni, taglia, ecc. (come sostantivo)",,,,
,"quale valore? (rel.) quale valore; quantī, a",,,,
,che prezzo? (rel.) a qual prezzo,,,,
quā,"dove, come",Pronome,Pronomi/Interrogativi,336,
sequor sequī secūtus sum,seguire,Verbo: Deponente,Movimento,108,
patior patī passus sum,"sopportare, permettere",Verbo: Deponente,Verbi di Comando/Indirizzo,185,
morior morī mortuus sum,morire,Verbo: Deponente,Vita ed Esistenza,253,
nāscor nāscī nātus sum,nascere,Verbo: Deponente,Vita ed Esistenza,266,
loquor loquī locūtus sum,parlare,Verbo: Deponente,Discorso/Oratoria,310,
ūtor ūtī ūsus sum,"usare, consumare, impiegare (+ abl.)",Verbo: Deponente,Fare/Costruire,330,
precor -ārī,"pregare, invocare",Verbo: Deponente,Religione,492,
dō dare dedī datum,dare,Verbo: I Coniugazione,Vita Sociale,28,
vocō -āre,chiamare,Verbo: I Coniugazione,Discorso/Oratoria,158,
parō -āre,"preparare, acquisire; parātus -a -um,",Verbo: I Coniugazione,Fare/Costruire,160,
,"preparato, pronto",,,,
putō -āre,"pensare, supporre",Verbo: I Coniugazione,Educazione/Conoscenza,166,
stō stāre stetī statum,stare,Verbo: I Coniugazione,Vita ed Esistenza,168,
amō -āre,amare; amāns -ntis m./f.: amante,Verbo: I Coniugazione,Love,219,
servō -āre,conservare,Verbo: I Coniugazione,La Famiglia,289,
negō -āre,"negare, rifiutare",Verbo: I Coniugazione,Discorso/Oratoria,294,
mūtō -āre,cambiare,Verbo: I Coniugazione,Fare/Costruire,315,
iuvō iuvāre iūvī iūtum,"aiutare, assistere; piacere a",Verbo: I Coniugazione,Vita Sociale,390,
errō -āre,"andare in giro, vagare",Verbo: I Coniugazione,Viaggio,402,
optō -āre,scegliere,Verbo: I Coniugazione,Tratti della,417,
,,,Personalità/Caratteristiche,,
praestō -stāre -stitī -stitum,"eccellere, dimostrare",Verbo: I Coniugazione,Altri Sensi,423,
temptō -āre,"tentare, provare",Verbo: I Coniugazione,Fare/Costruire,430,
laudō -āre,"lodare, apprezzare",Verbo: I Coniugazione,Vita Sociale,435,
exspectō -āre,aspettare,Verbo: I Coniugazione,Vista,442,
occupō -āre,"assediare, occupare; anticipare, fare",Verbo: I Coniugazione,Guerra e Pace,472,
,qualcosa prima (+ infin.),,,,
spectō -āre,"guardare, considerare",Verbo: I Coniugazione,Vista,473,
videō vidēre vīdī vīsum,vedere,Verbo: II Coniugazione,Vista,31,
habeō habēre habuī habitum,"avere, tenere",Verbo: II Coniugazione,Altri Sensi,39,
iubeō iubēre iussī iussum,"ordinare, offrire",Verbo: II Coniugazione,Giustizia,84,
teneō -ēre -uī tentum,"tenere, prendere",Verbo: II Coniugazione,Altri Sensi,106,
timeō -ēre -uī,"temere, aver terrore",Verbo: II Coniugazione,Emozioni,153,
dēbeō dēbēre dēbuī dēbitum,"dovere, essere obbligati a",Verbo: II Coniugazione,Affari/Soldi,155,
moveō -ēre mōvī mōtum,"muovere, spostare",Verbo: II Coniugazione,Movimento,192,
iaceō iacēre iacuī,"giacere, soccombere",Verbo: II Coniugazione,La Casa,228,
soleō -ēre -uī -itum,"solere, essere solito",Verbo: II Coniugazione,Tratti della,246,
,,,Personalità/Caratteristiche,,
audeō audēre ausus sum,osare,Verbo: II Coniugazione,Tratti della,270,
,,,Personalità/Caratteristiche,,
placeō placēre placuī placitum,"piacere, compiacere",Verbo: II Coniugazione,Vita Sociale,287,
solvō solvere solvī solūtum,"rilasciare, sciogliere, salpare",Verbo: II Coniugazione,Viaggio,325,
maneō manēre mānsī mānsum,rimanere,Verbo: II Coniugazione,Viaggio,357,
taceō -ēre -uī -itum,"tacere; tacitus -a -um, tacito, silente",Verbo: II Coniugazione,Altri Sensi,369,
doceō -ēre -uī doctum,insegnare,Verbo: II Coniugazione,Educazione/Conoscenza,393,
gaudeō gaudēre gāvīsus sum,"gioire, essere lieto",Verbo: II Coniugazione,Emozioni,407,
misceō miscēre miscuī mixtum,"miscelare, mischiare",Verbo: II Coniugazione,Terra e Acqua,425,
fleō flēre flēvī flētum,piangere,Verbo: II Coniugazione,Emozioni,457,
faciō facere fēcī factum,fare,Verbo: III Coniugazione -iō,Fare/Costruire,32,
accipiō -cipere -cēpī -ceptum,ricevere,Verbo: III Coniugazione -iō,Vita Sociale,110,
capiō capere cēpī captum,"prendere, cogliere",Verbo: III Coniugazione -iō,Guerra e Pace,131,
fugiō fugere fūgī fugitum,"fuggire, scappare",Verbo: III Coniugazione -iō,Viaggio,177,
rapiō rapere rapuī raptum,"saccheggiare, rapire",Verbo: III Coniugazione -iō,Violenza,273,
recipiō -cipere -cēpī -ceptum,"ricevere; sē recipere, recarsi, andare",Verbo: III Coniugazione -iō,Verbi di Trasporto,319,
ēripiō -ripere -ripuī -reptum,"strappare via, salvare",Verbo: III Coniugazione -iō,Verbi di Trasporto,349,
excipiō -cipere -cēpī -ceptum,portar fuori,Verbo: III Coniugazione -iō,Verbi di Trasporto,394,
incipiō -cipere -cēpī -ceptum,iniziare,Verbo: III Coniugazione -iō,Tempo,411,
cupiō -ere -īvī -ītum,desiderare,Verbo: III Coniugazione -iō,Love,441,
aspiciō -ere -spēxī -spectum,"guardare, scorgere",Verbo: III Coniugazione -iō,Vista,483,
dīcō dīcere dīxī dictum,"dire; causam dīcere, perorare una causa;",Verbo: III Coniugazione -ō,Discorso/Oratoria,33,
,"diem dīcere, fissare un giorno",,,,
agō agere ēgī āctum,"fare, agire",Verbo: III Coniugazione -ō,Verbi di Comando/Indirizzo,69,
petō petere petīvī petītum,"chiedere, aspirare a",Verbo: III Coniugazione -ō,Movimento,83,
vincō vincere vīcī victum,conquistare,Verbo: III Coniugazione -ō,Guerra e Pace,101,
pōnō pōnere posuī positum,"mettere, porre",Verbo: III Coniugazione -ō,Verbi di Trasporto,102,
crēdō crēdere crēdidī crēditum,credere,Verbo: III Coniugazione -ō,Educazione/Conoscenza,109,
quaerō -rere -sīvī -sītum,"chiedere, cercare",Verbo: III Coniugazione -ō,Educazione/Conoscenza,113,
mittō mittere mīsī missum,"mandare, lasciar andare",Verbo: III Coniugazione -ō,Verbi di Comando/Indirizzo,114,
dūcō dūcere dūxī ductum,"condurre; uxōrem dūcere, sposare",Verbo: III Coniugazione -ō,Verbi di Comando/Indirizzo,133,
relinquō -linquere -līquī -lictum,abbandonare,Verbo: III Coniugazione -ō,Movimento,144,
vīvō vīvere vīxī vīctum,vivere,Verbo: III Coniugazione -ō,Vita ed Esistenza,156,
reddō -dere -didī -ditum,"ridare, rendere",Verbo: III Coniugazione -ō,Verbi di Trasporto,174,
cadō cadere cecidī cāsum,"cadere, essere uccisi",Verbo: III Coniugazione -ō,Violenza,210,
trahō trahere trāxī trāctum,"trascinare, trarre",Verbo: III Coniugazione -ō,Verbi di Comando/Indirizzo,213,
gerō gerere gessī gestum,"portare, gestire; bellum gerere, fare",Verbo: III Coniugazione -ō,Guerra e Pace,237,
,guerra,,,,
premō premere pressī pressum,"premere, soverchiare, perseguire",Verbo: III Coniugazione -ō,Guerra e Pace,240,
cōgō cōgere coēgī coāctum,"guidare assieme, costringere",Verbo: III Coniugazione -ō,Verbi di Comando/Indirizzo,250,
vertō vertere vertī versum,girare,Verbo: III Coniugazione -ō,Movimento,288,
trādō -dere -didī -ditum,"consegnare, rendere",Verbo: III Coniugazione -ō,Affari/Soldi,297,
cēdō cēdere cessī cessum,andare via; cedere,Verbo: III Coniugazione -ō,Guerra e Pace,304,
colō colere coluī cultum,"abitare, coltivare",Verbo: III Coniugazione -ō,Animali/Piante,333,
cōgnōscō -gnōscere -gnōvī -gnitum,"imparare, capire",Verbo: III Coniugazione -ō,Educazione/Conoscenza,339,
frangō frangere frēgī frāctum,"rompere, scuotere",Verbo: III Coniugazione -ō,Violenza,345,
nōscō nōscere nōvī nōtum,"imparare, conoscere",Verbo: III Coniugazione -ō,Educazione/Conoscenza,347,
ostendō ostendere ostendī ostentum,"mostrare, ostentare",Verbo: III Coniugazione -ō,Altri Sensi,371,
tegō tegere tēxī tēctum,"coprire, nascondere",Verbo: III Coniugazione -ō,Inganno,376,
canō canere cecinī cantum,cantare,Verbo: III Coniugazione -ō,Scrittura/Poesia,389,
claudō claudere clausī clausum,chiudere,Verbo: III Coniugazione -ō,La Casa,392,
parcō parcere pepercī parsum,"risparmiare, essere parco di (+ dat.)",Verbo: III Coniugazione -ō,Guerra e Pace,412,
legō legere lēgī lēctum,"leggere, scegliere, raccogliere",Verbo: III Coniugazione -ō,Scrittura/Poesia,419,
metuō metuere metuī,"mettere paura, terrorizzare",Verbo: III Coniugazione -ō,Emozioni,429,
addō -dere -didī -ditum,dare a,Verbo: III Coniugazione -ō,Vita Sociale,433,
impōnō -ere -posuī -positum,"imporre, prelevare",Verbo: III Coniugazione -ō,Misura,437,
compōnō -pōnere posuī positum,"costruire, comporre",Verbo: III Coniugazione -ō,Fare/Costruire,443,
sūmō sūmere sūmpsī sūmptum,"prendere, scegliere",Verbo: III Coniugazione -ō,Movimento,454,
discō -ere didicī,imparare,Verbo: III Coniugazione -ō,Educazione/Conoscenza,465,
lemma,traduzione,parte del discorso,gruppo,posizione,
rumpō rumpere rūpī ruptum,"rompere, spaccare",Verbo: III Coniugazione -ō,Violenza,480,
āmittō -mittere -mīsī -missum,"lasciar andare, madar via",Verbo: III Coniugazione -ō,Verbi di Comando/Indirizzo,486,
pōscō pōscere popōscī,"chiedere, reclamare; interrogare",Verbo: III Coniugazione -ō,Discorso/Oratoria,487,
perdō -dere -didī -ditum,distruggere,Verbo: III Coniugazione -ō,Violenza,488,
contingō -tingere -tigī -tactum,"toccare, essere contiguo a",Verbo: III Coniugazione -ō,Luogo,494,
exigō -igere -ēgī -āctum,scacciare; riscuotere,Verbo: III Coniugazione -ō,Verbi di Comando/Indirizzo,500,
licet licēre licuit licitum est,è permesso (+ dat. + infin.),Verbo: Impersonale,Giustizia,175,
sum esse fuī futūrum,"essere, esistere; fut. infin. = fore, imperf.",Verbo: Irregolare,Vita ed Esistenza,2,
,cong. = forem per essem,,,,
possum posse potuī,potere,Verbo: Irregolare,Fare/Costruire,23,
ferō ferre tulī lātum,"portare, sopportare",Verbo: Irregolare,Verbi di Trasporto,45,
volō velle voluī,volere,Verbo: Irregolare,Emozioni,66,
eō īre iī/īvī itum,andare,Verbo: Irregolare,Movimento,97,
fīō fierī factus sum,"diventare, accadere, esser fatto",Verbo: Irregolare,Vita ed Esistenza,146,
"inquam, inquis, inquit, inquiunt:",dire (usato nel discorso diretto),Verbo: Irregolare,Discorso/Oratoria,163,
referō referre rettulī relātum,"portare indietro, riportare",Verbo: Irregolare,Verbi di Trasporto,171,
pereō -īre -iī -itum,"perire, essere persi",Verbo: Irregolare,Violenza,268,
adsum adesse affuī,essere presente,Verbo: Irregolare,Luogo,279,
tollō tollere sustulī sublātum,"alzare, distruggere",Verbo: Irregolare,Violenza,293,
redeō -īre -iī -itum,"tornare indietro, ritornare",Verbo: Irregolare,Movimento,301,
coepī coepisse coeptus,iniziare,Verbo: Irregolare,Tempo,312,
prōsum prodesse profuī,"giovare, aiutare (+ dat.)",Verbo: Irregolare,Vita Sociale,373,
aiō,"dire, affermare, dire di sì; ut āiunt: come",Verbo: Irregolare,Discorso/Oratoria,406,
,dicono,,,,
trānseō -īre -iī -itum,attraversare,Verbo: Irregolare,Viaggio,431,
absum abesse āfuī,"essere via, assentarsi",Verbo: Irregolare,Viaggio,445,
nōlō nōlle nōluī,non volere,Verbo: Irregolare,Emozioni,458,
dēsum -esse -fuī,mancare,Verbo: Irregolare,Affari/Soldi,463,
veniō venīre vēnī ventum,venire,Verbo: IV Coniugazione,Movimento,63,
audiō -īre -īvī/-iī -ītum,"udire, ascoltare",Verbo: IV Coniugazione,Altri Sensi,165,
sciō -īre -īvī/-iī -ītum,sapere,Verbo: IV Coniugazione,Educazione/Conoscenza,172,
sentiō sentīre sēnsī sēnsum,"percepire, sentire, vedere",Verbo: IV Coniugazione,Altri Sensi,302,
inveniō -venīre -vēnī -ventum,trovare; scoprire,Verbo: IV Coniugazione,Viaggio,316,
perveniō -venīre -vēnī -ventum,arrivare; raggiungere,Verbo: IV Coniugazione,Viaggio,409,
